id	corpus	emotion	domain
220	It wo n't bust your gut -- and it 's not intended to -- it 's merely a blandly cinematic surgical examination of what makes a joke a joke .	disgust	moviereview
223	Narc may not get an ` A ' for originality , but it wears its B-movie heritage like a badge of honor .	joy	moviereview
225	-LRB- Drumline -RRB- is entertaining for what it does , and admirable for what it does n't do .	joy	moviereview
233	We get some truly unique character studies and a cross-section of Americana that Hollywood could n't possibly fictionalize and be believed .	surprise	moviereview
237	Visits spy-movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last .	anticipation	moviereview
242	Despite its many infuriating flaws -- not the least of which is Amy 's self-absorbed personality -- Amy 's O 's honesty will win you over .	joy	moviereview
244	Day is not a great Bond movie , but it is a good Bond movie , which still makes it much better than your typical Bond knock-offs .	joy	moviereview
257	Behan himself knew how to spin a tale and one ca n't help but think he 'd appreciate this attempt to turn his life into art .	joy	moviereview
261	Moore 's complex and important film is also , believe it or not , immensely entertaining , a David and Goliath story that 's still very much playing itself out .	surprise	moviereview
262	The additional storyline is interesting and entertaining , but it does n't have the same magical quality as the beginning of the story .	sadness	moviereview
265	You might not buy the ideas .	noemotion	moviereview
273	You would n't call The Good Girl a date movie -LRB- an anti-date movie is more like it -RRB- , but when it 's good , it 's good and horrid .	surprise	moviereview
283	As a witness to several Greek-American weddings -- but , happily , a victim of none -- I can testify to the comparative accuracy of Ms. Vardalos ' memories and insights .	joy	moviereview
289	All the performances are top notch and , once you get through the accents , All or Nothing becomes an emotional , though still positive , wrench of a sit .	joy	moviereview
293	Parker holds true to Wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness .	joy	moviereview
303	The unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right .	joy	moviereview
304	It uses an old-time formula , it 's not terribly original and it 's rather messy -- but you just have to love the big , dumb , happy movie My Big Fat Greek Wedding .	joy	moviereview
305	It 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post-Soviet Russia .	joy	moviereview
306	Who knows what exactly Godard is on about in this film , but his words and images do n't have to add up to mesmerize you .	joy	moviereview
309	It could change America , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .	anticipation	moviereview
320	The film 's greatest asset is how much it 's not just another connect-the-dots , spy-on-the-run picture .	joy	moviereview
322	It 's one of the saddest films I have ever seen that still manages to be uplifting but not overly sentimental .	joy	moviereview
325	I do n't know precisely what to make of Steven Soderbergh 's Full Frontal , though that did n't stop me from enjoying much of it .	joy	moviereview
327	Nearly surreal , dabbling in French , this is no simple movie , and you 'll be taking a risk if you choose to see it .	noemotion	moviereview
329	You could say that it 's slow at times , you could say that a few of the characters act in ways that real people would n't , but one thing you could n't say is that Alias Betty is predictable .	surprise	moviereview
331	Roman Coppola may never become the filmmaker his Dad was , but heck -- few filmmakers will .	sadness	moviereview
336	Finally , a genre movie that delivers -- in a couple of genres , no less .	surprise	moviereview
337	It 's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .	joy	moviereview
338	Spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects .	sadness	moviereview
341	Post 9/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .	sadness	moviereview
344	Easier to respect than enthuse over , Andersson 's rigorous personal vision is not only distanced but distancing .	sadness	moviereview
347	While this film is not in the least surprising , it is still ultimately very satisfying .	joy	moviereview
367	Even if you ca n't pronounce `` gyro '' correctly , you 'll appreciate much of Vardalos ' humor , which transcends ethnic boundaries .	joy	moviereview
375	As Weber and Weissman demonstrate with such insight and celebratory verve , the Cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create .	noemotion	moviereview
377	Is n't it great ?	joy	moviereview
380	... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .	joy	moviereview
387	If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .	disgust	moviereview
393	It 's a movie -- and an album -- you wo n't want to miss .	joy	moviereview
395	While not all transitions to adulthood are so fraught , there 's much truth and no small amount of poetry in Girls Ca n't Swim .	joy	moviereview
396	If there 's nothing fresh about Wannabes , which was written by Mr. DeMeo , who produced and directed the film with Charles A. Addessi , much of the time the movie feels authentic .	joy	moviereview
398	By the end of No Such Thing the audience , like Beatrice , has a watchful affection for the monster .	joy	moviereview
399	If you liked such movies as Notting Hill , Four Weddings And A Funeral , Bridget Jones ' Diary or High Fidelity , then you wo n't want to miss About A Boy .	joy	moviereview
413	The people in Dogtown and Z-Boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .	joy	moviereview
420	-LRB- Anderson -RRB- uses a hit-or-miss aesthetic that hits often enough to keep the film entertaining even if none of it makes a lick of sense .	joy	moviereview
421	Bubba Ho-Tep is a wonderful film with a bravura lead performance by Bruce Campbell that does n't deserve to leave the building until everyone is aware of it .	joy	moviereview
422	despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''	joy	moviereview
431	"One Hour Photo is an intriguing snapshot of one man and his delusions ; it 's just too bad it does n't have more flashes of insight ."	sadness	moviereview
432	Kaufman creates an eerie sense of not only being there at the time of these events but the very night Matthew was killed .	sadness	moviereview
435	It represents better-than-average movie-making that does n't demand a dumb , distracted audience .	joy	moviereview
455	Call me a wimp , but I cried , not once , but three times in this animated sweet film .	joy	moviereview
461	If the message seems more facile than the earlier films , the images have such a terrible beauty you may not care .	disgust	moviereview
481	A great comedy filmmaker knows great comedy need n't always make us laugh .	joy	moviereview
482	Tim Story 's not there yet - but ` Barbershop ' shows he 's on his way .	anticipation	moviereview
484	Lends itself to the narcotizing bland -LRB- sinister , though not nearly so sinister as the biennial Disney girl movie -RRB- machinations of the biennial Disney boy movie .	disgust	moviereview
488	This is n't a new idea .	noemotion	moviereview
489	It 's been done before but never so vividly or with so much passion .	joy	moviereview
495	One of the best examples of how to treat a subject , you 're not fully aware is being examined , much like a photo of yourself you did n't know was being taken .	joy	moviereview
497	As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness .	joy	moviereview
511	The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .	joy	moviereview
513	Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress .	surprise	moviereview
530	There 's no denying the physically spectacular qualities of the film ... or the emotional integrity of the performances .	joy	moviereview
540	A sensitive and expertly acted crowd-pleaser that is n't above a little broad comedy and a few unabashedly sentimental tears .	joy	moviereview
545	You wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .	joy	moviereview
546	This version 's no classic like its predecessor , but its pleasures are still plentiful .	joy	moviereview
553	A depressing confirmation of everything those of us who do n't object to the description `` unelected '' have suspected all along : George W. Bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide .	disgust	moviereview
555	Sure , it 's more of the same , but as the film proves , that 's not always a bad thing .	joy	moviereview
558	Daughter from Danang is a film that should be seen by all , especially those who are n't aware of , or have forgotten about the unmentioned victims of war .	joy	moviereview
559	Zhang Yimou delivers warm , genuine characters who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones .	joy	moviereview
561	... both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '	joy	moviereview
583	As a revenge thriller , the movie is serviceable , but it does n't really deliver the delicious guilty pleasure of the better film versions .	disgust	moviereview
585	It 's not life-affirming -- its vulgar and mean , but I liked it .	joy	moviereview
591	A Generation X artifact , capturing a brief era of insanity in the sports arena that surely can not last .	disgust	moviereview
596	Having never been a huge fan of Dickens ' 800-page novel , it surprised me how much pleasure I had watching McGrath 's version .	surprise	moviereview
597	The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .	joy	moviereview
603	You do n't have to be an especially tough grader to give a charitable B-minus to The Emperor 's Club .	noemotion	moviereview
605	Divine Secrets of the Ya-Ya Sisterhood may not be exactly divine , but it 's definitely -- defiantly -- ya ya , what with all of those terrific songs and spirited performances .	joy	moviereview
610	It wo n't rock any boats but is solid meat-and-potatoes filmmaking .	joy	moviereview
622	While not as aggressively impressive as its American counterpart , `` In the Bedroom , '' Moretti 's film makes its own , quieter observations	joy	moviereview
624	Time Changer may not be the most memorable cinema session but its profound self-evaluation message about our fragile existence and the absence of spiritual guidance should at least invade an abundance of mindsets	surprise	moviereview
626	Haynes has so fanatically fetishized every bizarre old-movie idiosyncrasy with such monastic devotion you 're not sure if you should applaud or look into having him committed .	joy	moviereview
628	While the glass slipper does n't quite fit , Pumpkin is definitely a unique modern fairytale .	surprise	moviereview
633	Sometimes , nothing satisfies like old-fashioned swashbuckling .	joy	moviereview
640	another great ` what you do n't see ' is much more terrifying than what you do see thriller , coupled with some arresting effects , incandescent tones and stupendous performances	joy	moviereview
668	Director Nalin Pan does n't do much to weigh any arguments one way or the other .	disgust	moviereview
674	Still , I 'm not quite sure what the point is ...	noemotion	moviereview
677	Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?	disgust	moviereview
680	Do n't expect any surprises in this checklist of teamwork cliches ...	disgust	moviereview
682	The movie addresses a hungry need for PG-rated , nonthreatening family movies , but it does n't go too much further .	noemotion	moviereview
689	This is n't my favorite in the series , still I enjoyed it enough to recommend .	noemotion	moviereview
694	Pray 's film works well and will appeal even to those who are n't too familiar with turntablism .	joy	moviereview
710	Though the plot is predictable , the movie never feels formulaic , because the attention is on the nuances of the emotional development of the delicate characters .	joy	moviereview
730	Is n't quite the equal of Woo 's best earlier work , but it 's easily his finest American film ... comes close to recapturing the brilliance of his Hong Kong films .	joy	moviereview
754	It 's hard not to be seduced by -LRB- Witherspoon 's -RRB- charisma , even in this run-of-the-mill vehicle , because this girl knows how to drive it to the max .	joy	moviereview
757	If you 're not into the Pokemon franchise , this fourth animated movie in four years wo n't convert you -- or even keep your eyes open .	disgust	moviereview
766	There 's not much more to this adaptation of the Nick Hornby novel than charm -- effortless , pleasurable , featherweight charm .	joy	moviereview
779	It 's a good film -- not a classic , but odd , entertaining and authentic .	joy	moviereview
781	Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .	joy	moviereview
783	the plot is so amusingly contrived and outlandish in its coincidences that no one could ever mistake it for anything resembling reality	disgust	moviereview
784	Hits one out of the park for the ` they do n't make 'em like that anymore ' department .	joy	moviereview
801	Offers an unusual opportunity to observe the inequities in the death penalty , not just the inherent immorality but also the haphazard administration of it and public misperception of how the whole thing works .	joy	moviereview
802	I do n't think I 've been as entranced and appalled by an Asian film since Shinya Tsukamoto 's Iron Man .	joy	moviereview
813	Though the film 's scenario is certainly not earthshaking , this depiction of fluctuating female sexuality has two winning lead performances and charm to spare .	joy	moviereview
815	A recent favourite at Sundance , this white-trash satire will inspire the affection of even those unlucky people who never owned a cassette of Def Leppard 's Pyromania .	joy	moviereview
818	Bright seems alternately amused and disgusted with this material , and he ca n't help throwing in a few of his own touches .	noemotion	moviereview
823	De Oliveira creates an emotionally rich , poetically plump and visually fulsome , but never showy , film whose bittersweet themes are reinforced and brilliantly personified by Michel Piccoli .	joy	moviereview
825	The film 's real appeal wo n't be to Clooney fans or adventure buffs , but to moviegoers who enjoy thinking about compelling questions with no easy answers .	joy	moviereview
833	Cho 's fearless in picking apart human foibles , not afraid to lay her life bare in front of an audience .	noemotion	moviereview
843	Do n't plan on the perfect ending , but Sweet Home Alabama hits the mark with critics who escaped from a small town life .	joy	moviereview
855	You might not want to hang out with Samantha , but you 'll probably see a bit of yourself in her unfinished story .	anticipation	moviereview
860	Lee Jeong-Hyang tells it so lovingly and films it so beautifully that I could n't help being captivated by it .	joy	moviereview
875	There is n't a weak or careless performance amongst them .	joy	moviereview
879	Though the controversial Korean filmmaker 's latest effort is not for all tastes , it offers gorgeous imagery , effective performances , and an increasingly unsettling sense of foreboding .	joy	moviereview
881	The story may not be new , but Australian director John Polson , making his American feature debut , jazzes it up adroitly .	noemotion	moviereview
882	It 's endearing to hear Madame D. refer to her husband as ` Jackie ' -- and he does make for excellent company , not least as a self-conscious performer .	joy	moviereview
908	It never fails to engage us .	joy	moviereview
914	Baran is n't the most transporting or gripping film from Iran -- or , indeed , by its director -- but it 's a worthy companion to the many fine , focused films emerging from that most surprising of nations .	joy	moviereview
936	Engrossing and affecting , if ultimately not quite satisfying .	joy	moviereview
940	This horror-comedy does n't go for the usual obvious laughs at the expense of cheap-looking monsters -- unless you count Elvira 's hooters .	surprise	moviereview
944	Windtalkers blows this way and that , but there 's no mistaking the filmmaker in the tall grass , true to himself .	joy	moviereview
953	Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .	joy	moviereview
956	The reason this picture works better than its predecessors is that Myers is no longer simply spoofing the mini-mod-madness of '60s spy movies .	joy	moviereview
958	I have n't seen one in so long , no wonder I did n't recognize it at first .	surprise	moviereview
960	In Adobo , ethnicity is not just the spice , but at the heart of more universal concerns .	joy	moviereview
980	Cuts right through the B.S. giving a big middle-fingered `` shut up '' to those who talk up what is nothing more than two guys beating the hell outta one another .	disgust	moviereview
1001	It is not a mass-market entertainment but an uncompromising attempt by one artist to think about another .	noemotion	moviereview
1002	Frailty is n't as gory or explicit .	noemotion	moviereview
1012	The Powers team has fashioned a comedy with more laughs than many , no question .	joy	moviereview
1027	Thrilling , provocative and darkly funny , this timely sci-fi mystery works on so many different levels that it not only invites , it demands repeated viewings .	joy	moviereview
1043	This is n't a narrative film -- I do n't know if it 's possible to make a narrative film about September 11th , though I 'm sure some will try -- but it 's as close as anyone has dared to come .	noemotion	moviereview
1054	"Fans of the animated wildlife adventure show will be in warthog heaven ; others need not necessarily apply ."	joy	moviereview
1064	The movie is n't always easy to look at .	other	moviereview
1068	-LRB- Howard -RRB- so good as Leon Barlow ... that he hardly seems to be acting .	noemotion	moviereview
1077	Smith 's approach is never to tease , except gently and in that way that makes us consider our own eccentricities and how they are expressed through our homes .	joy	moviereview
1081	Fine acting but there is no sense of connecting the dots , just dots .	noemotion	moviereview
1088	The WWII drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear .	joy	moviereview
1101	Whether -LRB- Binoche and Magimel -RRB- are being charming or angst-ridden , they easily fill their scenes and , fine judges both , never overcook the hysteria .	joy	moviereview
1120	And if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins .	sadness	moviereview
1131	Although German cooking does not come readily to mind when considering the world 's best cuisine , Mostly Martha could make Deutchland a popular destination for hungry tourists .	surprise	moviereview
1137	Whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie .	sadness	moviereview
1138	... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young Gaghan 's resume .	joy	moviereview
1141	"It moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the Cold War datedness -- of its premise ."	joy	moviereview
1148	Not only is Undercover Brother as funny , if not more so , than both Austin Powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .	joy	moviereview
1155	But believe it or not , it 's one of the most beautiful , evocative works I 've seen .	joy	moviereview
1157	Like Mike is a winner for kids , and no doubt a winner for Lil Bow Wow , who can now add movies to the list of things he does well .	joy	moviereview
1160	But taken as a stylish and energetic one-shot , The Queen of the Damned can not be said to suck .	joy	moviereview
1161	You wo n't like Roger , but you will quickly recognize him .	noemotion	moviereview
1163	While the stoically delivered hokum of Hart 's War is never fun , it 's still a worthy addition to the growing canon of post-Saving Private Ryan tributes to the greatest generation .	noemotion	moviereview
1189	It 's refreshing to see a girl-power movie that does n't feel it has to prove anything .	joy	moviereview
1198	may not have generated many sparks , but with his affection for Astoria and its people he has given his tale a warm glow .	joy	moviereview
1222	So unassuming and pure of heart , you ca n't help but warmly extend your arms and yell ` Safe ! '	joy	moviereview
1226	The magic of the film lies not in the mysterious spring but in the richness of its performances .	joy	moviereview
1236	Byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .	joy	moviereview
1252	If The Count of Monte Cristo does n't transform Caviezel into a movie star , then the game is even more rigged than it was two centuries ago .	disgust	moviereview
1253	-LRB- D -RRB- oes n't bother being as cloying or preachy as equivalent evangelical Christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .	trust	moviereview
1255	If director Michael Dowse only superficially understands his characters , he does n't hold them in contempt .	noemotion	moviereview
1256	If your taste runs to ` difficult ' films you absolutely ca n't miss it .	joy	moviereview
1257	-LRB- City -RRB- reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' -LRB- 1999 -RRB- and ` Analyze That , ' promised -LRB- or threatened -RRB- for later this year .	disgust	moviereview
1258	... a story we have n't seen on the big screen before , and it 's a story that we as Americans , and human beings , should know .	noemotion	moviereview
1260	All in all , The Count of Monte Cristo is okay , but it is surely no classic , like the novel upon which it is based .	joy	moviereview
1262	Looking aristocratic , luminous yet careworn in Jane Hamilton 's exemplary costumes , Rampling gives a performance that could not be improved upon . '	joy	moviereview
1266	Montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .	noemotion	moviereview
1279	Kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .	joy	moviereview
1280	The subtle strength of `` Elling '' is that it never loses touch with the reality of the grim situation .	joy	moviereview
1289	Nine Queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head .	joy	moviereview
1292	You do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .	joy	moviereview
1296	Inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .	anticipation	moviereview
1299	An effectively creepy , fear-inducing -LRB- not fear-reducing -RRB- film from Japanese director Hideo Nakata , who takes the superstitious curse on chain letters and actually applies it .	fear	moviereview
1306	This is a story of two misfits who do n't stand a chance alone , but together they are magnificent .	joy	moviereview
1307	Highbrow self-appointed guardians of culture need not apply , but those who loved Cool as Ice have at last found a worthy follow-up .	joy	moviereview
1314	And just when you think it ca n't get any more gay , in pops Nathan Lane .	disgust	moviereview
1316	The movie is n't just hilarious : It 's witty and inventive , too , and in hindsight , it is n't even all that dumb .	joy	moviereview
1334	In all , this is a watchable movie that 's not quite the memorable experience it might have been .	sadness	moviereview
1348	It seems like I have been waiting my whole life for this movie and now I ca n't wait for the sequel .	anticipation	moviereview
1361	It has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .	joy	moviereview
1365	It will not appeal to the impatient , but those who like long books and movies will admire the way it accumulates power and depth .	joy	moviereview
1377	Two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated .	joy	moviereview
1378	It 's one heck of a character study -- not of Hearst or Davies but of the unique relationship between them .	joy	moviereview
1398	A full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .	joy	moviereview
1402	Even if you do n't think -LRB- Kissinger 's -RRB- any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch .	anticipation	moviereview
1404	Fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .	joy	moviereview
1411	It may seem long at 110 minutes if you 're not a fan , because it includes segments of 12 songs at a reunion concert .	noemotion	moviereview
1420	CQ 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best European directors .	joy	moviereview
1442	A marvel like none you 've seen .	joy	moviereview
1457	is not easy .	noemotion	moviereview
1458	It haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .	fear	moviereview
1460	Although the level of the comedy declines as the movie proceeds , there 's no denying the fun of watching De Niro and Crystal having fun .	joy	moviereview
1472	The movie is for fans who ca n't stop loving anime , and the fanatical excess built into it .	joy	moviereview
1480	... a good , if not entirely fresh , look at war .	joy	moviereview
1482	You wo n't miss its messages , but you 'll be entertained as well .	joy	moviereview
1490	For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their *** off for an hour-and-a-half .	joy	moviereview
1495	I have no way of knowing exactly how much is exaggeration , but I 've got a creepy feeling that the film is closer to the mark than I want to believe .	surprise	moviereview
1502	"I ca n't say that I liked Homeboy ; it 'd be more accurate to say that I found it intriguing , bizarre , Dogma-like in spots - and quite truthful , in its way ."	joy	moviereview
1510	Passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards .	sadness	moviereview
1515	It will grip even viewers who are n't interested in rap , as it cuts to the heart of American society in an unnerving way .	joy	moviereview
1522	Pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins .	sadness	moviereview
1526	It 's the perfect kind of film to see when you do n't want to use your brain .	joy	moviereview
1543	While Undisputed is n't exactly a high , it is a gripping , tidy little movie that takes Mr. Hill higher than he 's been in a while .	joy	moviereview
1546	It 's great escapist fun that recreates a place and time that will never happen again .	joy	moviereview
1571	The terrific and bewilderingly underrated Campbell Scott gives a star performance that is nothing short of mesmerizing .	joy	moviereview
1574	Like Mike is n't interested in recycling old cliches .	noemotion	moviereview
1576	Smith is careful not to make fun of these curious owners of architectural oddities .	joy	moviereview
1594	While its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving .	joy	moviereview
1596	Based on a devilishly witty script by Heather McGowan and Niels Mueller , the film gets great laughs , but never at the expense of its characters	joy	moviereview
1600	Whether writer-director Anne Fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting .	joy	moviereview
1612	A taut psychological thriller that does n't waste a moment of its two-hour running time .	joy	moviereview
1614	Despite its title , Punch-Drunk Love is never heavy-handed .	joy	moviereview
1639	Its maker , Steven Spielberg , has n't had so much fun in two decades , since he was schlepping Indiana Jones around the globe in search of a giant misplaced ashtray .	joy	moviereview
1641	It 's so good that its relentless , polished wit can withstand not only inept school productions , but even Oliver Parker 's movie adaptation .	joy	moviereview
1651	Which is n't to say that it 's the equal of some of its predecessors .	noemotion	moviereview
1653	The Lion King was a roaring success when it was released eight years ago , but on Imax it seems better , not just bigger .	joy	moviereview
1660	About a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological .	joy	moviereview
1666	This is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .	joy	moviereview
1668	There is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .	noemotion	moviereview
1669	All-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us .	joy	moviereview
1679	The modern-day royals have nothing on these guys when it comes to scandals .	joy	moviereview
1707	By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .	joy	moviereview
1708	I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !	joy	moviereview
1709	A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .	joy	moviereview
1710	High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .	joy	moviereview
1716	Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .	joy	moviereview
1718	Nair does n't treat the issues lightly .	noemotion	moviereview
1729	While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .	joy	moviereview
1742	It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .	joy	moviereview
1743	It 's not a great monster movie .	sadness	moviereview
1752	A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .	noemotion	moviereview
1761	So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .	joy	moviereview
1764	The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .	joy	moviereview
1766	If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .	joy	moviereview
1776	You 'd have to be a most hard-hearted person not to be moved by this drama .	joy	moviereview
1783	Too often , Son of the Bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''	anticipation	moviereview
1795	Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .	joy	moviereview
